ISSN;Estrato
2541-965X;B2
2236-6695;B2
1413-6090;B3
2236-2029;B3
1528-7106;C
0094-6354;A3
0149-1423;A1
2381-1285;C
2316-9451;A4
1980-4814;B2
1516-3210;A3
2315-7712;B3
1012-8255;A3
2318-1494;B4
1806-9495;C
1096-3685;A2
1528-2686;A3
0001-4273;A1
1526-1794;A3
1095-6298;A3
1939-6104;A2
2358-6559;B4
2238-0701;B2
0773-7637;B4
2559-6004;A3
1583-4387;A3
0810-5391;A2
0951-3574;A1
1468-4489;A2
0963-9284;A2
1467-6303;A1
0155-9982;A1
1744-9499;A2
1030-9616;A3
2637-6105;B2
1948-5875;A2
2168-0485;A1
0906-4702;B2
0120-2812;B3
0139-3006;B2
1809-4392;A3
0001-5237;A1
2358-3363;B4
2236-0867;B4
0102-3306;A4
0001-5385;B2
0583-6050;A4
1678-2674;A4
0123-9155;A1
2357-8068;B4
2317-0190;B2
1980-5772;A2
2316-4093;B4
0102-6712;B2
0001-5970;A2
2594-7680;B3
1982-0194;A4
0137-5881;A2
1210-2709;A4
0065-1583;A4
1517-4492;A2
1679-9216;B2
1679-9275;A4
1807-8621;A4
1807-863X;B2
2178-5201;A2
1807-8656;A2
1983-4683;A1
1806-2563;B2
1807-8664;B2
2446-7006;B3
0001-706X;A2
2525-8923;A3
2215-3535;A3
1518-9929;A4
1692-0279;A4
2316-7548;A1
1676-9457;A1
2177-6083;A3
2358-0917;A3
2175-5787;A3
2500-5227;B1
1583-9583;A1
0095-3997;A2
0001-8392;A1
2076-3387;A2
1084-1806;A3
2237-5139;A4
2177-5281;B2
1679-9941;B2
0342-7633;B4
2251-7308;A2
0098-9258;B3
2424-922X;B3
1523-4223;A2
2287-6316;B2
0394-6169;B3
1687-5893;B1
2194-5357;B2
1474-7979;A4
1687-8442;A3
1687-8434;A3
2515-2459;A2
1983-8611;A3
1527-7941;A3
2055-0286;A4
1724-2118;A3
1991-637X;B3
1684-5315;B3
1993-8233;C
2040-0705;A2
1996-0794;B1
2223-814X;A3
1996-0808;B3
1996-0824;B4
0002-0591;A1
2318-8499;A3
1516-1498;A2
2237-9010;B2
0103-3557;B1
1982-999X;A4
0104-7507;B2
1982-6737;A4
2357-9951;B4
1984-2538;B4
2277-9760;A4
1807-1570;B4
1520-6297;A2
1414-0810;B2
0168-1923;A1
1682-1130;B2
0002-1466;A3
2077-0472;A3
0167-8809;A1
1166-7699;A2
1316-0354;A4
0100-4298;B4
2168-3565;A2
0167-4366;A2
1982-8470;B4
1774-0746;A1
1435-0645;A2
0002-1962;A2
2525-877X;B3
1808-6845;B4
2525-8990;B4
2179-9784;B3
0951-5666;A1
1938-9604;A4
1360-0451;A2
1873-9318;A2
2473-3458;B2
1449-8618;A3
1982-1093;B4
1413-2591;A4
2175-7402;B2
1413-0394;B1
2158-5571;A4
1999-4893;C
2359-6651;B1
1982-5617;B3
2036-5195;A4
1405-339X;B3
2318-4817;B4
0084-5841;B3
2525-8281;C
2595-8909;B3
2322-6307;B3
2177-8760;B4
2176-0675;A2
1808-0251;B4
2175-9405;B4
2238-5533;A3
1809-4422;A2
1415-8876;A3
1678-8621;A3
1414-753X;A2
1824-114X;B4
1988-5733;A3
1139-1979;A3
2318-3888;B3
2167-9495;B2
2320-0847;C
2231-0606;B4
0890-1171;A2
1520-6300;A1
2161-6620;B4
2158-2750;B3
1099-209X;A4
1548-7776;B3
0275-0740;A1
2313-4402;C
1869-814X;A3
1869-8182;A3
1692-2522;A4
2238-2925;A4
0001-3765;A2
1678-2690;A2
2594-3618;C
0104-4885;C
1980-0258;B4
0303-7762;B3
2447-0600;C
0211-9803;B1
0102-9924;A3
2316-5197;B1
2156-6909;A3
1751-7311;A1
0377-8401;A1
1836-0939;A2
1806-9614;A2
1984-3143;A2
2076-2615;A1
2175-4977;B1
1370-4788;A2
0196-0644;A1
1614-2446;A3
0003-4819;A1
2159-6816;A1
0254-5330;A2
1572-9338;A2
0003-4916;A2
1467-8292;A3
0160-7383;A1
1983-201X;A1
1871-5206;A2
1098-6596;A1
0066-4804;A1
2076-3921;B1
2179-7331;A2
1983-7364;B2
1982-3908;B2
0101-9759;B2
2339-4889;B4
2525-3328;A4
2525-4669;B4
2522-7971;B2
0169-1317;A1
2210-8327;A1
1466-4291;A2
1350-4851;A2
1466-4283;A1
0003-6846;A1
0306-2619;A1
2374-2429;B1
1350-486X;A3
0307-904X;A1
1314-7552;C
1312-885X;C
0096-3003;A2
0175-7598;A2
1875-8533;A1
0969-8043;A2
2076-3417;A3
1568-4946;A1
1524-1904;A4
2448-3524;B3
2190-5495;A3
2596-3317;B4
0213-3334;A3
0252-1865;B1
0044-8486;A1
0967-6120;A2
2352-5134;A2
1355-557X;A1
0166-445X;A1
1657-5997;A4
1878-5352;A1
0365-6233;A3
2054-7404;A3
0003-9888;A1
2359-4292;B2
1933-8244;B1
2578-6539;B4
1520-6327;A3
2049-3258;A3
1068-2341;A1
1994-6961;A2
1578-0007;B2
2379-2957;A3
1984-7505;A1
2317-3882;A4
2448-2803;B1
2527-2551;B1
2359-6880;B3
