TAG;FREQUENCIA
AUTORES;1407
INTEGRANTES-DO-PROJETO;154
DETALHAMENTO-DO-ARTIGO;128
DADOS-BASICOS-DO-ARTIGO;128
ARTIGO-PUBLICADO;128
DETALHAMENTO-DO-TRABALHO;93
TRABALHO-EM-EVENTOS;93
DADOS-BASICOS-DO-TRABALHO;93
PARTICIPANTE-BANCA;84
INFORMACAO-ADICIONAL-INSTITUICAO;77
PRODUCAO-CT-DO-PROJETO;59
DADOS-BASICOS-DE-OUTRAS-ORIENTACOES-CONCLUIDAS;58
OUTRAS-ORIENTACOES-CONCLUIDAS;58
DETALHAMENTO-DE-OUTRAS-ORIENTACOES-CONCLUIDAS;58
VINCULOS;52
ATUACAO-PROFISSIONAL;47
PARTICIPACAO-EM-PROJETO;38
EQUIPE-DO-PROJETO;38
PROJETO-DE-PESQUISA;38
INFORMACAO-ADICIONAL-CURSO;36
CAPITULO-DE-LIVRO-PUBLICADO;32
DADOS-BASICOS-DO-CAPITULO;32
DETALHAMENTO-DO-CAPITULO;32
PARTICIPANTE-DE-EVENTOS-CONGRESSOS;23
ORIENTACOES-CONCLUIDAS-PARA-MESTRADO;20
DETALHAMENTO-DE-ORIENTACOES-CONCLUIDAS-PARA-MESTRADO;20
DADOS-BASICOS-DE-ORIENTACOES-CONCLUIDAS-PARA-MESTRADO;20
FINANCIADOR-DO-PROJETO;17
FINANCIADORES-DO-PROJETO;17
PARTICIPACAO-EM-CONGRESSO;13
DADOS-BASICOS-DA-PARTICIPACAO-EM-CONGRESSO;13
DETALHAMENTO-DA-PARTICIPACAO-EM-CONGRESSO;13
DADOS-BASICOS-DA-APRESENTACAO-DE-TRABALHO;10
APRESENTACAO-DE-TRABALHO;10
DETALHAMENTO-DA-APRESENTACAO-DE-TRABALHO;10
ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO;9
DADOS-BASICOS-DE-ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO;9
DETALHAMENTO-DE-ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO;9
ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO;8
PALAVRAS-CHAVE;8
